,authorID,authorName,authorAffiliation
439,2093186816,Zhaoxuan Tan,N/A
440,2117098676,Zilong Chen,N/A
441,2114887261,Shangbin Feng,N/A
442,2181769242,Qingyue Zhang,N/A
443,2152099796,Qinghua Zheng,N/A
444,1737121128,Jundong Li,N/A
445,3326677,Minnan Luo,N/A
446,2125374460,Emaad A. Manzoor,N/A
447,2195295252,Jordan Tong,N/A
448,2836230,S. Vijayaraghavan,N/A
449,,Rui Li,N/A
450,2122901065,Tao Yang,N/A
451,2108022788,Feifan Yang,N/A
452,2125735267,Haolan Ouyang,N/A
453,38472218,Xiaojun Quan,N/A
454,2115829666,Yuxiang Wang,N/A
455,1953583,Tianxing Wu,N/A
456,2881961,Jiahui Jin,N/A
457,5120480,Haijiang Yan,N/A
458,15349761,Hiroto Yasumi,N/A
459,1734921,Fukuhito Ooshita,N/A
460,2751773,M. Inoue,N/A
461,39460142,Bradley Paul Allen,N/A
462,2249760463,Lise Stork,N/A
463,2249760863,Paul T. Groth,N/A
464,48169460,Luyu Wang,N/A
465,47002813,Yujia Li,N/A
466,2166611,Özlem Aslan,N/A
467,1689108,O. Vinyals,N/A
468,2642200,Fuzheng Zhang,N/A
469,48985404,Mengdi Zhang,N/A
470,2152527702,Miao Zhao,N/A
471,50135338,Wenjie Li,N/A
472,2135394423,Zhongyuan Wang,N/A
473,2057050247,Bowen Jin,N/A
474,2295954468,Chulin Xie,N/A
475,2295927976,Jiawei Zhang,N/A
476,2061977359,Kashob Kumar Roy,N/A
477,2293820617,Yu Zhang,N/A
478,145391513,Yu Meng,N/A
479,2257136881,Jiawei Han,N/A
480,2114057317,Yuting Ye,N/A
481,2154737444,Xuwu Wang,N/A
482,3213796,Jiangchao Yao,N/A
483,2878254,Kunyang Jia,N/A
484,1709595,Jingren Zhou,N/A
485,3011950,Yanghua Xiao,N/A
486,38385080,Hongxia Yang,N/A
487,2075444562,Edmund Dervakos,N/A
488,1978772089,Orfeas Menis-Mastromichalakis,N/A
489,1794785,A. Chortaras,N/A
490,1719165,G. Stamou,N/A
491,2152273089,Rajat Patel,N/A
492,2112787103,Yin Fang,N/A
493,2145895211,Qiang Zhang,N/A
494,2118697870,Haihong Yang,N/A
495,2072655893,Xiang Zhuang,N/A
496,39449475,Minghai Qin,N/A
497,2283992213,Zhuo Chen,N/A
