,venueName,typeName
291,Traitement du signal,journal
292,Health technology,journal
293,IEEE Communications Surveys and Tutorials,journal
294,Minds and Machines,journal
295,2021 IEEE World AI IoT Congress (AIIoT),conference
296,Robotics Auton. Syst.,journal
297,2019 Conference on Cognitive Computational Neuroscience,conference
298,Electronic Markets,journal
299,Journal of Artificial Intelligence and Consciousness,journal
300,Information Fusion,journal
301,International Workshop on Soft Computing Applications,workshop
302,Journal of experimental and theoretical artificial intelligence (Print),journal
303,IEEE Transactions on Cognitive and Developmental Systems,journal
304,European Conference on Logics in Artificial Intelligence,conference
305,Conference on Uncertainty in Artificial Intelligence,conference
306,Artif. Intell. Medicine,journal
307,The AI Magazine,journal
308,International Workshop on Artificial Intelligence and Cognition,workshop
309,IEEE Congress on Evolutionary Computation,conference
310,Artificial Intelligence and Interactive Digital Entertainment Conference,conference
311,International Conference on Information Technology and Quantitative Management,conference
312,Serdica Journal of Computing,journal
313,NAIS,journal
314,Annals of Surgical Oncology,journal
315,Journal of Information Security and Applications,journal
316,2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA),conference
317,Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence,conference
318,ACM Conference on Economics and Computation,conference
319,International Conference on Artificial Intelligence and Pattern Recognition,conference
320,Synthese,journal
321,Latin American Symposium on Circuits and Systems,conference
322,The biochemist,journal
323,Journal of Artificial General Intelligence,journal
324,Neuro-Symbolic Artificial Intelligence,journal
325,Future Internet,journal
326,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),conference
327,Teorie vědy / Theory of Science,journal
328,International Conference on Automated Software Engineering,conference
329,IEEE design & test,journal
330,IIAI International Conference on Advanced Applied Informatics,conference
331,Reasoning Web,conference
332,Innovation (Cambridge (Mass.)),journal
333,Intelligent Computing,journal
334,Frontiers in Applied Mathematics and Statistics,journal
335,Survey of ophthalmology,journal
336,Cancers,journal
337,EUROMICRO Conference on Software Engineering and Advanced Applications,conference
338,We Will Show Them!,workshop
339,IFAC-PapersOnLine,journal
340,AISafety@IJCAI,conference
341,Measurement,journal
342,Australasian Conference on Artificial Intelligence,conference
343,International Journal of Approximate Reasoning,journal
344,Journal of Vibration Engineering & Technologies,journal
345,International Journal of Geographical Information Science,journal
346,Scandinavian Conference on AI,conference
347,Frontiers of Computer Science,journal
348,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,conference
349,Algorithmica,journal
350,International Workshop on Neural-Symbolic Learning and Reasoning,workshop
351,Journal of engineering design,journal
352,Journal of Big Data,journal
353,IEEE Transactions on Visualization and Computer Graphics,journal
354,EDBT/ICDT Workshops,workshop
355,WIESP,workshop
356,Information Sciences,journal
357,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal
358,DL4KGS@ESWC,workshop
359,SDM,conference
360,Proc. ACM Manag. Data,journal
361,Big Data Research,journal
362,Semdeep/NLIWoD@ISWC,workshop
363,Journal of King Saud University: Computer and Information Sciences,journal
364,2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),conference
365,Advanced Quantum Technologies,journal
366,PKDD/ECML Workshops,workshop
367,IEEE International Conference on Tools with Artificial Intelligence,conference
368,Biomedical Circuits and Systems Conference,conference
369,ACM Transactions on Knowledge Discovery from Data,journal
370,IEEE Transactions on Computational Social Systems,journal
371,IEEE International Joint Conference on Neural Network,conference
372,International Conference on Algorithmic Learning Theory,conference
373,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference
374,AKBC@NIPS,conference
375,Cognitive Computation,journal
376,Journal of Computational Science and Technology,journal
377,Physical Review E,journal
378,International Conference on Big Knowledge,conference
379,International Conference on Advanced Data Mining and Applications,conference
380,Conference on Artificial Intelligence in Medicine in Europe,conference
381,FINNLP,conference
382,International Symposium on Intelligent Data Analysis,conference
383,DART/FAIR@MICCAI,workshop
384,EuroMLSys@EuroSys,workshop
385,Data mining and knowledge discovery,journal
386,Machine-mediated learning,journal
387,European Conference on Artificial Intelligence,conference
388,International Joint Conference on Natural Language Processing,conference
389,ICDAR Workshops,workshop
390,LOG IN,conference
391,DL4KG@ESWC,workshop
392,International Conference on Pattern Recognition,conference
393,Conference on Natural Language Processing,conference
394,International Conference of the Italian Association for Artificial Intelligence,conference
395,International Conference on Artificial Neural Networks,conference
396,DALI@MICCAI,workshop
397,AEQUITAS@ECAI,workshop
398,Pacific-Asia Conference on Knowledge Discovery and Data Mining,conference
399,SDU@AAAI,workshop
400,SemDeep@IWCS,workshop
401,International Conference on Service Oriented Computing,conference
402,Electronic Commerce Research and Applications,journal
403,IEEE Transactions on Image Processing,journal
404," Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)""""","conference"""
